%
% GALE automatic stratified fold generation for CV
%
% Generated at        : Mon Feb 12 11:20:02 CET 2001
% Random seed         : 69
% File name           : GALE.vote.cv.seed.69.fold.000003.test.arff
% Number of instances : 42
%

@RELATION vote

@ATTRIBUTE	'handicapped-infants'	{'n','y'}
@ATTRIBUTE	'water-project-cost-sharing'	{'n','y'}
@ATTRIBUTE	'adoption-of-the-budget-resolution'	{'n','y'}
@ATTRIBUTE	'physician-fee-freeze'	{'n','y'}
@ATTRIBUTE	'el-salvador-aid'	{'n','y'}
@ATTRIBUTE	'religious-groups-in-schools'	{'n','y'}
@ATTRIBUTE	'anti-satellite-test-ban'	{'n','y'}
@ATTRIBUTE	'aid-to-nicaraguan-contras'	{'n','y'}
@ATTRIBUTE	'mx-missile'	{'n','y'}
@ATTRIBUTE	'immigration'	{'n','y'}
@ATTRIBUTE	'synfuels-corporation-cutback'	{'n','y'}
@ATTRIBUTE	'education-spending'	{'n','y'}
@ATTRIBUTE	'superfund-right-to-sue'	{'n','y'}
@ATTRIBUTE	'crime'	{'n','y'}
@ATTRIBUTE	'duty-free-exports'	{'n','y'}
@ATTRIBUTE	'export-administration-act-south-africa'	{'n','y'}
@ATTRIBUTE	'Class'	{'democrat','republican'}

@DATA
'y','n','n','y','y','y','n','n','n','n','y','y','y','y','n','n','republican'
'n','n','y','n','n','y','y','y','y','y','y','n','y','y','n','y','democrat'
'y','n','n','n','y','y',?,'n',?,'n','n','n','n','y',?,'n','democrat'
'n','n','n','y','y','y','n','n','n','y','n','y','y','y','n','n','republican'
'n','n','n','y','y','y','n','n','n','n','n','y','y','y','n','n','republican'
'n','n','n','y','y','y','n','n','n','y','n','y','n','y','n','y','republican'
'n','y','n','y',?,'y','n','n','n','y','n','y','y','y','n','n','republican'
'y','n','n','n','n','n','y','y','y','y','n','n','n','n','y','y','democrat'
'n',?,?,'y','y','y','n','n','n','y','n','y','y','y',?,'y','republican'
'y','y','y','n','n','n','y','y','y','n','y',?,'n','n','n','y','democrat'
'n','y','n','y','y','y','n','n','n','y','n','y','y',?,'n',?,'republican'
'n','y','n','y','y','y','n','n','n','y','y','y','y','n','n','y','republican'
'n','n','y','n','y','n','y','y','y','n','n','n','n','y',?,'y','democrat'
'n','y','y','n','n','y','y','y','y','n',?,'n','n','n','n','y','democrat'
'n','n','y','n','n','n','y','y','y','n','n','n','n','n','y','y','democrat'
'y','y','n','y','n','n','y','y','y','n','y','n','n','y','n','y','democrat'
'y','n','n','y','y','n','y','n','n','y','n','n','n','y','y','y','republican'
'n','n','n','y','y','y','n','n','n','n','n','y','y','y','n','y','republican'
'y',?,'y','n','n','n','y','y','y','n','n','n','n','n','y',?,'democrat'
'n','y','y','n','n','n','y','y','y','y','n','n',?,'n','y','y','democrat'
'y',?,'y','n','n','n','y','y','y','n','n','n','n','n','y','y','democrat'
'n','n','y','n','n','y','y',?,'y','y','y','n','n','n','y','y','democrat'
'n','n','y','n','n','n','y','y','y','n','n',?,'n','n','y','y','democrat'
'n','n','n','y','y','y','n','n','n','y','n','y','n','y','n','y','republican'
'n',?,'n','y','y','y','n','n','n','y','n','y','y','y','n','n','republican'
'n','y','y','n','n','y','y','y','y','y','y','n','y','n','y',?,'democrat'
'n','y','n','n','y','y','n','n','n','y','y','n','y','y','n','n','democrat'
'y','n','y','n','n','n','y','y','y','n','y','n','n','n','y','y','democrat'
'y','y','y','n','n','n','y','y','y','n','y','n','n','n','y','y','democrat'
'n','y','y','n','y','y','y','y','n','n','y','n','y','n','y','y','democrat'
'y','n','y','n','n','n','y','y','y','y','n','n','n','n','n','y','democrat'
'y',?,'y','n','n','n','y','y','y','n','n','n','n','n','y',?,'democrat'
'n','n','y','n','n','n','y','y','y','y','n','n','y','n','y','y','democrat'
'n','n','y','n','n','y','n','y','y','y','n','n','n','y','n','y','democrat'
'n','y','y','n','y','y','y','n','n','n','y','y','y','y','n','y','democrat'
'n','y','n','y','y','y','n','n','n','n','n','y','y','y','n','n','republican'
'n','n','y','y','y','y','y','y','n','y','n','n','n','y','n','y','republican'
'n','n','n','y','y','y','n','n','n','y','n','y','y','y','n','n','republican'
'y','n','y','n','n','n','y','y','y','n','n','n','n','n','y','y','democrat'
'n','y','n','y','y','y','n','n','n','n','n','y',?,?,'n',?,'republican'
'y','n','y','n','n','n','y','y','y','n','y','n','n','n','y',?,'democrat'
'n','y','y','n','n','y','y','y','y','y','n','n','y','y','y','y','democrat'
